,player_id,Pass,Carry,Dribble,Shot,Duel,Pressure,Block,Ball Recovery,Interception,Clearance,successful_passes,all_passes,avg_pass_length,avg_pass_angle,pass_success_rate,longest_forward_pass,pressure_count,total_distance,avg_progression,avg_directness,total_width_change,avg_speed,ground_pass,high_pass,low_pass,Center Back,Center Midfield,Goalkeeper,Left Back,Striker,Wide Midfield,start_attacking_center,start_attacking_left,start_attacking_right,start_defensive_center,start_defensive_left,start_defensive_right,start_middle_center,start_middle_left,start_middle_right,end_attacking_center,end_attacking_left,end_attacking_right,end_defensive_center,end_defensive_left,end_defensive_right,end_middle_center,end_middle_left,end_middle_right,total_xg,foul_won_total,foul_committed_total,counterpress_count,pass_switch,pass_cut_back,aerial_duels_won,avg_duration,avg_opponent_distance,avg_teammate_distance,avg_opponent_count,avg_teammate_count,total_packing
0,2954.0,117,91,0,4,2,17,5,7,1,0,101.0,117.0,21.54168268888889,0.01357870340170941,0.8632478632478633,66.7,60.0,2933.143649149187,2.524207492795389,0.1170530713477309,1897.3,8.043431489446261,0.8547008547008547,0.06837606837606838,0.07692307692307693,0.0,1.0,0.0,0.0,0.0,0.0,0.1585014409221902,0.07780979827089338,0.037463976945244955,0.10951008645533142,0.01440922190201729,0.011527377521613832,0.3314121037463977,0.15273775216138327,0.10662824207492795,0.1729106628242075,0.09798270893371758,0.037463976945244955,0.11239193083573487,0.011527377521613832,0.01440922190201729,0.3170028818443804,0.14121037463976946,0.09510086455331412,0.15331877,1,0,4.0,2,0,0,1.299916432575397,5.794269683972474,9.804818853418654,1.8442367601246106,0.7133956386292835,270.0
1,2972.0,55,59,3,12,4,42,5,5,2,2,46.0,55.0,12.021931098181819,-0.02173969694545458,0.8363636363636363,29.10000000000001,97.0,1293.6819931100722,1.1506060606060609,0.032434434606537506,693.0999999999999,5.7563201955582946,0.8545454545454545,0.07272727272727272,0.07272727272727272,0.0,0.0,0.0,0.0,0.5969696969696969,0.403030303030303,0.3515151515151515,0.0696969696969697,0.09696969696969697,0.051515151515151514,0.0,0.015151515151515152,0.22727272727272727,0.048484848484848485,0.1393939393939394,0.3484848484848485,0.0696969696969697,0.11818181818181818,0.05757575757575758,0.0,0.015151515151515152,0.20606060606060606,0.048484848484848485,0.13636363636363635,1.178653634,0,0,9.0,0,0,9,1.0637072643018868,11.345671285325494,16.28019258041184,2.3689655172413793,0.8827586206896552,140.0
2,2988.0,166,148,11,18,12,76,3,10,1,1,112.0,166.0,18.610955107831323,0.09237227155421687,0.6746987951807228,41.900000000000006,237.0,4006.550270442124,1.0067510548523206,0.07107374834425505,2822.6,7.543723978704977,0.6325301204819277,0.2710843373493976,0.0963855421686747,0.0,0.170182841068917,0.0,0.0,0.8129395218002813,0.016877637130801686,0.3066104078762307,0.1209563994374121,0.15049226441631505,0.012658227848101266,0.011251758087201125,0.008438818565400843,0.19549929676511954,0.07172995780590717,0.12236286919831224,0.35864978902953587,0.1111111111111111,0.12939521800281295,0.01828410689170183,0.011251758087201125,0.011251758087201125,0.1828410689170183,0.06329113924050633,0.11392405063291139,1.951101066,1,0,25.0,11,True,3,1.0224707254672132,10.466254716374127,15.983053790290887,2.365814696485623,0.7492012779552716,410.0
3,3009.0,185,209,28,24,3,40,5,14,1,0,161.0,185.0,16.67199054972973,0.6631879874864864,0.8702702702702703,47.50000000000001,250.0,5070.679454144906,1.3420921544209212,0.055574584076616584,3276.1,8.01983314159457,0.8486486486486486,0.10270270270270271,0.04864864864864865,0.0,0.0,0.0,0.0,0.5143212951432129,0.48567870485678705,0.33872976338729766,0.0224159402241594,0.31133250311332505,0.009962640099626401,0.007471980074719801,0.021170610211706103,0.07098381070983811,0.0062266500622665,0.21170610211706103,0.37858032378580325,0.031133250311332503,0.27895392278953923,0.009962640099626401,0.007471980074719801,0.0224159402241594,0.08094645080946451,0.007471980074719801,0.18306351183063513,2.506847149,1,0,6.0,8,0,True,1.4413993289473683,9.298932192325637,14.529596458268536,2.1014285714285714,0.6571428571428571,624.0
4,3026.0,235,205,5,3,8,48,8,19,1,1,214.0,235.0,15.83745601787234,0.2266563011106383,0.9106382978723404,66.30000000000001,136.0,5040.4409267653,1.5243811881188118,0.07705891120825857,3182.1,7.289631756647259,0.8595744680851064,0.08936170212765958,0.05106382978723404,0.0,0.724009900990099,0.0,0.0,0.0,0.275990099009901,0.13613861386138615,0.03712871287128713,0.14108910891089108,0.0655940594059406,0.0049504950495049506,0.04579207920792079,0.2957920792079208,0.04579207920792079,0.22772277227722773,0.15594059405940594,0.03712871287128713,0.15965346534653466,0.06435643564356436,0.006188118811881188,0.04826732673267327,0.26732673267326734,0.04455445544554455,0.21658415841584158,0.26204044,0,0,20.0,True,0,3,1.2249832973486727,8.627992293713767,12.420067838794596,1.7323162274618584,0.841886269070735,450.0
5,3042.0,136,114,2,3,11,46,3,17,2,3,115.0,136.0,16.237204359558824,0.09307692544852941,0.8455882352941176,72.2,137.0,2811.4208522473214,1.2796407185628742,0.10336317504463895,1837.3,6.966504801448755,0.7647058823529411,0.16176470588235295,0.07352941176470588,0.0,0.9840319361277445,0.0,0.0,0.0,0.015968063872255488,0.16367265469061876,0.031936127744510975,0.1277445109780439,0.059880239520958084,0.021956087824351298,0.0718562874251497,0.2874251497005988,0.07784431137724551,0.15768463073852296,0.1596806387225549,0.04790419161676647,0.15568862275449102,0.06786427145708583,0.017964071856287425,0.06387225548902195,0.2634730538922156,0.06986027944111776,0.1536926147704591,0.32604773,0,0,25.0,True,0,12,1.0190757306194445,6.606885203399325,11.277788796424383,2.203862660944206,0.9721030042918455,285.0
6,3043.0,221,162,1,12,6,46,7,18,1,0,166.0,221.0,19.437511116289592,0.1305353125158371,0.751131221719457,55.400000000000006,110.0,5016.884345803249,0.9427566807313641,0.05288947471488532,3577.5,9.012158660043882,0.6742081447963801,0.22624434389140272,0.09954751131221719,0.0,0.7665260196905767,0.0,0.0,0.0,0.23347398030942335,0.22784810126582278,0.06610407876230662,0.14767932489451477,0.035161744022503515,0.004219409282700422,0.03656821378340366,0.2770745428973277,0.05625879043600562,0.1490857946554149,0.27848101265822783,0.052039381153305204,0.12939521800281295,0.03656821378340366,0.0028129395218002813,0.03234880450070324,0.26441631504922647,0.06188466947960619,0.1420534458509142,0.83504278,1,0,13.0,17,0,0,1.097478828940937,7.205776023728235,11.841103484959882,2.275272161741835,0.8320373250388803,393.0
7,3053.0,68,93,12,7,5,38,2,6,0,0,58.0,68.0,12.512123111764705,-0.7518792063235294,0.8529411764705882,26.80000000000001,106.0,1701.4951979334285,0.869187675070028,0.014571839250055417,981.8000000000001,6.191557866551606,0.8529411764705882,0.014705882352941176,0.1323529411764706,0.0,0.0,0.0,0.0,0.0,1.0,0.21568627450980393,0.33613445378151263,0.014005602240896359,0.04481792717086835,0.058823529411764705,0.008403361344537815,0.07563025210084033,0.23809523809523808,0.008403361344537815,0.24929971988795518,0.3137254901960784,0.0196078431372549,0.05042016806722689,0.058823529411764705,0.0056022408963585435,0.09243697478991597,0.20168067226890757,0.008403361344537815,0.282124476,0,0,13.0,True,0,0,1.1720838509803921,10.374121983698943,14.931486278289514,1.9937694704049844,0.7757009345794392,195.0
8,3076.0,3,7,2,3,0,2,2,1,0,0,3.0,3.0,11.753427666666667,1.4940297000000002,1.0,6.600000000000001,14.0,177.3554946453182,4.181481481481481,0.2572659260872844,87.30000000000001,8.396449648695452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25925925925925924,0.0,0.18518518518518517,0.0,0.0,0.18518518518518517,0.07407407407407407,0.0,0.2962962962962963,0.2962962962962963,0.0,0.14814814814814814,0.037037037037037035,0.0,0.1111111111111111,0.07407407407407407,0.0,0.3333333333333333,0.323952999,0,0,0.0,0,0,0,1.3252089999999999,3.506431946820237,10.73751747588292,2.0,0.35,14.0
9,3077.0,207,171,0,1,6,16,6,7,1,8,193.0,207.0,23.328254753140094,0.17440852353864733,0.9323671497584541,82.0,46.0,5356.232481491758,2.9327922077922075,0.14409101476937286,3960.0,8.70055259185401,0.8695652173913043,0.1111111111111111,0.01932367149758454,1.0,0.0,0.0,0.0,0.0,0.0,0.008116883116883116,0.0,0.0016233766233766235,0.5081168831168831,0.0,0.10227272727272728,0.32142857142857145,0.006493506493506494,0.05194805194805195,0.00974025974025974,0.003246753246753247,0.008116883116883116,0.4318181818181818,0.008116883116883116,0.11363636363636363,0.3003246753246753,0.02922077922077922,0.09577922077922078,0.104912855,0,0,1.0,4,0,7,1.4117228974439253,12.165813482244703,13.762982178653568,0.4215328467153285,0.3357664233576642,225.0
